region,mae,mean_gen,weight
강원도,20.065615520494386,45.93182478332162,0.08260393208803142
경기도,8.549461769060985,25.960564215320584,0.046687556906905056
경상남도,13.972027801331537,37.76208727272727,0.06791145153264914
경상북도,23.827020711168387,64.05007346189164,0.11518784510387375
광주시,1.739884616912153,7.005156836461126,0.012598095162009753
대구시,1.3855170453609047,5.425020767729845,0.009756373694877384
대전시,0.2621451125489073,1.6208154044336773,0.0029148793070309306
부산시,2.241895050404851,9.07494182389937,0.016320402719911475
서울시,0.32934007559285555,1.8920088363552903,0.003402594392134786
세종시,0.7390066598617259,1.7519063594651931,0.0031506336755512624
울산시,1.7690406592054344,0.09082833807882511,0.00016334595687686183
인천시,1.5691670184194693,4.776520804544757,0.008590109407082677
전라남도,143.44796836975368,167.31686181352777,0.3009031484297955
전라북도,30.548377537672867,49.29601139876352,0.08865409543391123
제주도,14.48213573183674,33.15723751354547,0.05963007585081119
충청남도,32.28114675206852,75.6190445921779,0.1359935176431796
충청북도,12.34161823734964,25.31798621522167,0.045531942695368054
