model,score_val,pred_time_val,fit_time_marginal,fit_order
WeightedEnsemble,-0.5986226899148842,3.107072967342174,2.386335973000314,8
DirectTabular,-0.6331936224731309,3.0457396507263184,429.1509037017822,2
SeasonalNaive,-0.8404524283288891,0.05983614921569824,4.453531980514526,1
AutoETS,-1.7456251284634312,4.335187673568726,23.728408575057983,3
TemporalFusionTransformer_2,-1.8375175444202914,0.7266724109649658,887.9773755073547,5
TemporalFusionTransformer,-1.8989817377235567,0.6738913059234619,931.5099716186523,4
PatchTST,-3.0568937039310042,0.44194602966308594,565.9806439876556,6
PatchTST_2,-3.120506137734833,0.3666701316833496,531.4151799678802,7
