region,mae_autogluon,weight,mae_xgb,diff
전라남도,141.56496591869,0.3009031484297955,75.82623895936642,65.73872695932359
충청남도,31.710478299965164,0.1359935176431796,17.64745669478659,14.063021605178573
경상북도,23.869537699108683,0.11518784510387375,12.46349423485663,11.406043464252052
전라북도,30.567401540505987,0.08865409543391123,11.617566267953636,18.94983527255235
강원도,20.325378187643825,0.08260393208803142,10.009315193208394,10.31606299443543
경상남도,13.995360362192052,0.06791145153264914,5.991295347138869,8.004065015053182
제주도,13.952330294665002,0.05963007585081119,1.9960853665507134,11.956244928114288
경기도,8.475945297143744,0.046687556906905056,3.4444716690630433,5.0314736280807
충청북도,12.597412209259424,0.045531942695368054,7.031835050569629,5.565577158689795
부산시,2.2309435376921343,0.016320402719911475,0.7788929968204947,1.4520505408716395
광주시,1.5943063853619452,0.012598095162009753,0.5050804551793784,1.0892259301825669
대구시,1.3914299428647832,0.009756373694877384,0.5819734663750884,0.8094564764896948
인천시,1.580119876970576,0.008590109407082677,0.7980020632501776,0.7821178137203983
서울시,0.3545725657993155,0.003402594392134786,0.13666547448973815,0.21790709130957736
세종시,0.7419238653099659,0.0031506336755512624,0.3214672818083682,0.4204565835015977
대전시,0.2521682458188445,0.0029148793070309306,0.09950844686087569,0.15265979895796883
울산시,2.507089302385048,0.00016334595687686183,0.1765814751260229,2.3305078272590247
